,RegisterPage,JPEGNum,EntryNum,Title,First Name,Last Name,City,Occupation,drYear,drMonth,drDay,drNo,drTitle,drFirst,drLast,drNo2,DollarAmt,CentAmt,crYear,crMonth,crDay,crNo,crTitle,crFirst,crLast,crNo2,crDollarAmt,crCentAmt,Note
32,7.0,22.0,21.0,,Dolly,Sabin,Providence,Spinster,,,,,,,,,,,1792.0,1.0,1.0,21.0,,Funded 3 percent stock assumed debt,,8.0,111.0,4.0,
33,8.0,23.0,22.0,,Cyril,Carpenter,Foster,Physician,,,,,,,,,,,1792.0,1.0,1.0,22.0,,Funded 3 percent stock assumed debt,,9.0,55.0,23.0,
34,8.0,23.0,23.0,,David,Martin,Providence,Glazier,1795.0,4.0,20.0,,,Nicholas,Cooke,596.0,28.0,68.0,1792.0,1.0,1.0,23.0,,Funded 3 percent stock assumed debt,,9.0,28.0,68.0,
35,8.0,23.0,24.0,,William,Vernon,Newport,Gent,,,,,,,,,,,1792.0,1.0,1.0,24.0,,Funded 3 percent stock assumed debt,,9.0,160.0,64.0,
36,9.0,24.0,25.0,,Robert,Stevens,Newport,Merchant,,,,,,,,,,,1792.0,1.0,1.0,25.0,,Funded 3 percent stock assumed debt,,10.0,13.0,55.0,
37,9.0,24.0,26.0,,Clarke,Brown,Newport,Merchant,,,,,,,,,,,1792.0,1.0,1.0,26.0,,Funded 3 percent stock assumed debt,,10.0,,77.0,
38,9.0,24.0,27.0,,Lemuel,Bailey,Tiverton,Esquire,,,,,,,,,,,1792.0,1.0,1.0,27.0,,Funded 3 percent stock assumed debt,,10.0,164.0,35.0,
39,10.0,25.0,28.0,,George,Champlin,Newport,Esquire,1792.0,1.0,12.0,,,Benjamin,Siexas,32.0,126.0,97.0,1792.0,1.0,1.0,28.0,,Funded 3 percent stock assumed debt,,11.0,126.0,97.0,
40,10.0,25.0,29.0,,Andrew,Hamersly,New York,Merchant,1792.0,3.0,6.0,,,Certificate number 32 transferred to the office of John Cochran Commissioner of loans for the State of New York,,158.0,568.0,33.0,1792.0,1.0,1.0,29.0,,Funded 3 percent stock assumed debt,,11.0,568.0,33.0,
41,10.0,25.0,30.0,,Mehetable,Perkins,Newport,Widow,,,,,,,,,,,1792.0,1.0,1.0,30.0,,Funded 3 percent stock assumed debt,,11.0,104.0,16.0,
42,11.0,26.0,31.0,,Samuel,Fowler,Newport,Merchant,1792.0,1.0,12.0,,,Benjamin,Siexas,32.0,718.0,38.0,1792.0,1.0,1.0,31.0,,Funded 3 percent stock assumed debt,,12.0,718.0,38.0,
43,11.0,26.0,32.0,,James,Robinson,Newport,Merchant,,,,,,,,,,,1792.0,1.0,1.0,32.0,,Funded 3 percent stock assumed debt,,12.0,6.0,38.0,
44,11.0,26.0,33.0,,Henry,Marchant,Newport,Esquire,,,,,,,,,,,1792.0,1.0,1.0,33.0,,Funded 3 percent stock assumed debt,,12.0,324.0,96.0,
45,12.0,27.0,34.0,,Christopher,Ellery,Newport,Esquire,1792.0,3.0,6.0,,,John Ward and co.,,35.0,73.0,87.0,1792.0,1.0,1.0,34.0,,Funded 3 percent stock assumed debt,,13.0,73.0,87.0,
46,12.0,27.0,35.0,,George,Shove,Berkeley,Potter,1792.0,9.0,14.0,,,Jabez,Bowen,3.0,4.0,16.0,1792.0,1.0,1.0,35.0,,Funded 3 percent stock assumed debt,,13.0,4.0,16.0,
47,12.0,27.0,36.0,,Abigail,Hammond,Newport,Spinster,,,,,,,,,,,1792.0,1.0,1.0,36.0,,Funded 3 percent stock assumed debt,,13.0,49.0,61.0,
48,13.0,28.0,37.0,,Elias,Cornelius,State of New York,Physician,1792.0,11.0,24.0,,,Andrews,Spooner,75.0,156.0,30.0,1792.0,1.0,1.0,37.0,,Funded 3 percent stock assumed debt,,14.0,156.0,30.0,
49,13.0,28.0,38.0,,Jeremiah,Whipple,Cumberland,Esquire,,,,,,,,,,,1792.0,1.0,1.0,38.0,,Funded 3 percent stock assumed debt,,14.0,105.0,77.0,
50,13.0,28.0,39.0,,Simeon,Potter,Swanzey,Esquire,1792.0,6.0,11.0,,,Le Roy and Bayard,,99.0,1780.0,35.0,1792.0,1.0,1.0,39.0,,Funded 3 percent stock assumed debt,,14.0,1780.0,35.0,
51,14.0,29.0,40.0,,Azariah,Hide,Connecticut,Franklin,1792.0,7.0,20.0,,,Moses,Browne,36.0,92.0,55.0,1792.0,1.0,1.0,40.0,,Funded 3 percent stock assumed debt,,15.0,92.0,55.0,
52,14.0,29.0,41.0,,Ichabod,Northup,Warwick,Labourer,,,,,,,,,,,1792.0,1.0,1.0,41.0,,Funded 3 percent stock assumed debt,,15.0,29.0,68.0,
53,14.0,29.0,42.0,,Zephaniah,Andrews,Providence,Mason,1795.0,4.0,20.0,,,Nicholas,Cooke,596.0,41.0,1.0,1792.0,1.0,1.0,42.0,,Funded 3 percent stock assumed debt,,15.0,41.0,1.0,
54,15.0,30.0,43.0,,Mary,Travers,Providence,Widow,,,,,,,,,,,1792.0,1.0,1.0,43.0,,Funded 3 percent stock assumed debt,,16.0,32.0,43.0,
55,15.0,30.0,44.0,,Archibald,Stewart,Providence,Merchant,1796.0,9.0,8.0,,,Zachariah,Allen,9.0,8.0,27.0,1792.0,1.0,1.0,44.0,,Funded 3 percent stock assumed debt,,16.0,8.0,27.0,
56,15.0,30.0,45.0,,John,Thurston,Hudson,Merchant,,,,,,,,,,,1792.0,1.0,1.0,45.0,,Funded 3 percent stock assumed debt,,16.0,39.0,26.0,
57,16.0,31.0,46.0,,Caleb,Aldrich,Smithfield,Esquire,1795.0,1.0,1.0,,,Caleb,Fiske,66.0,8.0,21.0,1792.0,1.0,1.0,46.0,,Funded 3 percent stock assumed debt,,17.0,8.0,21.0,
58,16.0,31.0,47.0,,Enos,Hitchcock,Providence,Reverend,1792.0,1.0,30.0,,,Silas,Talbot,96.0,429.0,32.0,1792.0,1.0,1.0,47.0,,Funded 3 percent stock assumed debt,,17.0,429.0,32.0,
59,16.0,31.0,47.0,,Enos,Hitchcock,Providence,Reverend,1796.0,7.0,9.0,,,Benjamin,Joy,7.0,766.0,52.0,1792.0,6.0,5.0,,,Nathaniel,Appleton,249.0,76.0,39.0,
60,16.0,31.0,47.0,,Enos,Hitchcock,Providence,Reverend,,,,,,,,,,,1792.0,10.0,22.0,,,Joseph,Martin,333.0,690.0,13.0,
61,16.0,31.0,47.0,,Enos,Hitchcock,Providence,Reverend,,,,,,,,,,,,,,,,,,,766.0,52.0,
62,16.0,31.0,48.0,,Abner,Allen,Rehoboth,Yeoman,1792.0,4.0,18.0,,,Daniel C,Verplank,26.0,91.0,94.0,1792.0,1.0,1.0,48.0,,Funded 3 percent stock assumed debt,,17.0,91.0,94.0,
63,17.0,32.0,49.0,,Josiah Jenckes and D.L. Barnes,,Providence,Extors to the Estate of Jn Jenckes,1792.0,1.0,18.0,,,Thomas,Dickason,96.0,1994.0,89.0,1792.0,1.0,1.0,49.0,,Funded 3 percent stock assumed debt,,18.0,1994.0,89.0,
64,17.0,32.0,50.0,,Aron,Mann,Providence,Trader,1795.0,6.0,3.0,,,Nicholas,Cooke,602.0,10.0,18.0,1792.0,1.0,1.0,50.0,,Funded 3 percent stock assumed debt,,18.0,10.0,18.0,
65,17.0,32.0,51.0,,Nathan,Fouller,Rehoboth,Yeoman,1793.0,3.0,13.0,,,William,Allen,95.0,6.0,61.0,1792.0,1.0,1.0,51.0,,Funded 3 percent stock assumed debt,,18.0,6.0,61.0,
66,18.0,33.0,52.0,,Christopher,Lippitt,Cranstone,Esquire,,,,,,,,,,,1792.0,1.0,1.0,52.0,,Funded 3 percent stock assumed debt,,19.0,86.0,2.0,
67,18.0,33.0,52.0,,Christopher,Lippitt,Cranstone,Esquire,,,,,,,,,,,1796.0,3.0,1.0,,,Freelove Colvin and others,,623.0,48.0,26.0,
68,18.0,33.0,52.0,,Christopher,Lippitt,Cranstone,Esquire,,,,,,,,,,,,,,,,,,,134.0,28.0,
69,18.0,33.0,53.0,,Pardon,Tillinghast,West Greenwich,Esquire,,,,,,Amount of credit carried to page,,28.0,295.0,29.0,1792.0,1.0,1.0,53.0,,Funded 3 percent stock assumed debt,,19.0,295.0,29.0,
70,18.0,33.0,54.0,,Pardon,Tillinghast,West Greenwich,Yeoman,,,,,,,,,,,1792.0,1.0,1.0,54.0,,Funded 3 percent stock assumed debt,,19.0,37.0,2.0,
71,19.0,34.0,55.0,,Benjamin,Greene,Warwick,Esquire,,,,,,,,,,,1792.0,1.0,1.0,55.0,,Funded 3 percent stock assumed debt,,20.0,239.0,,
72,19.0,34.0,56.0,,John,Dorrance,Providence,Esquire,1792.0,2.0,2.0,,,John Ward and co,,35.0,128.0,45.0,1792.0,1.0,1.0,56.0,,Funded 3 percent stock assumed debt,,20.0,38.0,75.0,
73,19.0,34.0,56.0,,John,Dorrance,Providence,Esquire,,,,,,,,,,,,,,247.0,,Funded 3 percent stock assumed debt,,84.0,89.0,70.0,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0,45.0,
75,19.0,34.0,57.0,,Elisha,Brown,Providence,Merchant,1792.0,2.0,14.0,,,William,Walter,49.0,79.0,26.0,1792.0,1.0,1.0,57.0,,Funded 3 percent stock assumed debt,,20.0,79.0,26.0,
76,20.0,35.0,58.0,,Elizah,Brown,Providence,Administratrix to the Estate of Josiah Brown,,,,,,,,,,,1792.0,1.0,1.0,58.0,,Funded 3 percent stock assumed debt,,21.0,1644.0,3.0,
77,20.0,35.0,59.0,,Lydia,Dexter,Providence,Widows,1794.0,4.0,1.0,,,Hannah and Elizabeth,Whipple,112.0,69.0,80.0,1792.0,1.0,1.0,59.0,,Funded 3 percent stock assumed debt,,21.0,69.0,80.0,
78,20.0,35.0,60.0,,Benjamin,Talbot,Providence,Merchant,1792.0,5.0,14.0,,,Certificate number 49 transferred to the office of John Cochran Esq commissioners of loans for the State of New York,,229.0,132.0,60.0,1792.0,1.0,1.0,60.0,,Funded 3 percent stock assumed debt,,21.0,132.0,60.0,
79,21.0,36.0,61.0,,Abigail,Cushing,Providence,Spinster,,,,,,,,,,,1792.0,1.0,1.0,61.0,,Funded 3 percent stock assumed debt,,22.0,43.0,36.0,
80,21.0,36.0,62.0,,Peter,Turner,East Greenwich,Physician,,,,,,,,,,,1792.0,1.0,1.0,62.0,,Funded 3 percent stock assumed debt,,22.0,85.0,34.0,
81,21.0,36.0,63.0,,William,Greene,Warwick,Yeoman,,,,,,,,,,,1792.0,1.0,1.0,63.0,,Funded 3 percent stock assumed debt,,22.0,11.0,33.0,
82,22.0,37.0,64.0,,Elisha,Waterman,Cumberland,Esquire,,,,,,,,,,,1792.0,1.0,1.0,64.0,,Funded 3 percent stock assumed debt,,23.0,138.0,32.0,
83,22.0,37.0,64.0,,Elisha,Waterman,Cumberland,Esquire,,,,,,,,,,,1795.0,5.0,11.0,,,Amaziah,Waterman,600.0,20.0,59.0,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,158.0,91.0,
85,22.0,37.0,65.0,,Amaziah,Waterman,Cumberland,Yeoman,1795.0,5.0,11.0,,,Elisha,Waterman,600.0,20.0,59.0,1792.0,1.0,1.0,65.0,,Funded 3 percent stock assumed debt,,23.0,20.0,59.0,
86,22.0,37.0,66.0,,Benjamin,Tillinghast,West Greenwich,Esquire,,,,,,,,,,,1792.0,1.0,1.0,66.0,,Funded 3 percent stock assumed debt,,23.0,362.0,92.0,
87,22.0,37.0,66.0,,Benjamin,Tillinghast,West Greenwich,Esquire,,,,,,,,,,,1795.0,10.0,27.0,,,Benjamin Tillinghast and others,,614.0,84.0,60.0,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,447.0,52.0,
89,23.0,38.0,67.0,,Benjamin,Tillinghast,West Greenwich,,1795.0,10.0,27.0,,,Benjamin,Tillinghast,614.0,84.0,60.0,1792.0,1.0,1.0,67.0,,Funded 3 percent stock assumed debt,,24.0,84.0,60.0,
90,23.0,38.0,68.0,,Nicholas,Power,Providence,Merchant,1792.0,2.0,14.0,,,William,Walter,49.0,383.0,7.0,1792.0,1.0,1.0,68.0,,Funded 3 percent stock assumed debt,,24.0,383.0,7.0,
91,23.0,38.0,68.0,,Nicholas,Power,Providence,Merchant,1793.0,6.0,1.0,,,William,Hall,102.0,383.0,7.0,1792.0,5.0,30.0,,,John Ward and co.,,246.0,383.0,7.0,
92,23.0,38.0,69.0,,Elizah,Hammond,Newport,Widow,1792.0,3.0,14.0,,,Benjamin,Siexas,32.0,26.0,51.0,1792.0,1.0,1.0,69.0,,Funded 3 percent stock assumed debt,,24.0,26.0,51.0,
93,24.0,39.0,70.0,,William,Holroyd,Providence,Merchant,,,,,,,,,,,1792.0,1.0,1.0,70.0,,Funded 3 percent stock assumed debt,,25.0,50.0,25.0,
94,24.0,39.0,71.0,,Moses and Nicholas,Brown,,Exetors to the Estate of Nicholas Brown Esq Deced,1792.0,5.0,11.0,,,Thomas,Dickason,96.0,17979.0,13.0,1792.0,1.0,1.0,71.0,,Funded 3 percent stock assumed debt,,25.0,5695.0,20.0,
95,24.0,39.0,71.0,,Moses and Nicholas,Brown,,Exetors to the Estate of Nicholas Brown Esq Deced,1792.0,5.0,11.0,,,Balance due from the United States,,,5787.0,75.0,1792.0,1.0,1.0,,,Funded 3 percent stock assumed debt transferred from Massachusetts,,221.0,17266.0,39.0,
96,24.0,39.0,71.0,,Moses and Nicholas,Brown,,Exetors to the Estate of Nicholas Brown Esq Deced,,,,,,,,,23766.0,88.0,1792.0,1.0,1.0,,,Funded 3 percent stock assumed debt transferred from Connecticutt,,222.0,712.0,74.0,
97,24.0,39.0,71.0,,Moses and Nicholas,Brown,,Exetors to the Estate of Nicholas Brown Esq Deced,1794.0,2.0,1.0,,,Nicholas,Brown,98.0,4549.0,46.0,,,,,,,,,23674.0,33.0,
98,24.0,39.0,71.0,,Moses and Nicholas,Brown,,Exetors to the Estate of Nicholas Brown Esq Deced,1794.0,2.0,1.0,,,Thomas P,Ives,111.0,1145.0,74.0,1793.0,7.0,1.0,,,Moses,Brown,437.0,92.0,55.0,
99,24.0,39.0,71.0,,Moses and Nicholas,Brown,,Exetors to the Estate of Nicholas Brown Esq Deced,1794.0,2.0,1.0,,,Thomas P,Ives,,92.0,55.0,,,,,,,,,23766.0,88.0,
100,,,,,,,,,,,,,,,,,5787.0,75.0,,,,,,,,,,,
101,24.0,39.0,72.0,,Daniel,Tefft,Providence,Blacksmith,,,,,,,,,,,1792.0,1.0,1.0,72.0,,Funded 3 percent stock assumed debt,,25.0,168.0,47.0,
102,25.0,40.0,73.0,,John,Bannister,Newport,Esquire,1792.0,6.0,11.0,,,Robert,Davis,100.0,6.0,11.0,1792.0,1.0,1.0,73.0,,Funded 3 percent stock assumed debt,,26.0,6.0,11.0,
103,25.0,40.0,74.0,,Nathaniel,Appleton,Boston,Esquire,1792.0,6.0,5.0,,,Enos,Hitchcock,16.0,76.0,39.0,1792.0,1.0,1.0,74.0,,Funded 3 percent stock assumed debt,,26.0,76.0,39.0,
104,25.0,40.0,75.0,,Edward,Clarke,,,,,,,,,,,,,1792.0,1.0,1.0,75.0,,Funded 3 percent stock assumed debt,,26.0,108.0,55.0,
105,26.0,41.0,76.0,,Lydia,Nightingale,Providence,Spinster,1793.0,10.0,15.0,,,Clarke and Nightingale,,475.0,6.0,21.0,1792.0,1.0,1.0,76.0,,Funded 3 percent stock assumed debt,,27.0,6.0,21.0,
106,26.0,41.0,77.0,Dr,Daniel C,Verplank,New York,Merchant,1792.0,1.0,30.0,,,Certificate number 12 transferred to the office of John Cochran commissioners of loans for the State of New York,,109.0,868.0,8.0,1792.0,1.0,1.0,77.0,,Funded 3 percent stock assumed debt,,27.0,581.0,73.0,
107,26.0,41.0,77.0,Dr,Daniel C,Verplank,New York,Merchant,1792.0,4.0,18.0,,,Certificate number 43 transferred to the office of John Cochran commissioners of loans for the State of New York,,198.0,1201.0,42.0,,,,90.0,,Funded 3 percent stock assumed debt,,31.0,527.0,75.0,
108,26.0,41.0,77.0,Dr,Daniel C,Verplank,New York,Merchant,,,,,,,,,,,,,,151.0,,Funded 3 percent stock assumed debt,,52.0,246.0,29.0,
109,26.0,41.0,77.0,Dr,Daniel C,Verplank,New York,Merchant,,,,,,,,,,,,,,227.0,,Funded 3 percent stock assumed debt,,77.0,621.0,79.0,
110,26.0,41.0,77.0,Dr,Daniel C,Verplank,New York,Merchant,,,,,,,,,2069.0,50.0,,,,,,,,,1977.0,56.0,
111,26.0,41.0,77.0,Dr,Daniel C,Verplank,New York,Merchant,,,,,,,,,,,1792.0,4.0,1.0,,,Abner,Allen,197.0,91.0,94.0,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,2069.0,50.0,
113,26.0,41.0,78.0,,Thomas,Allen,Barrington,Esquire,1792.0,9.0,1.0,,,Benjamin,Brown,102.0,9.0,47.0,1792.0,1.0,1.0,78.0,,Funded 3 percent stock assumed debt,,27.0,9.0,47.0,
114,27.0,42.0,79.0,,Welcome,Arnold,Providence,Merchant,1794.0,1.0,16.0,,,William,Hall,459.0,5982.0,82.0,1792.0,1.0,1.0,79.0,,Funded 3 percent stock assumed debt,,28.0,3449.0,40.0,
115,27.0,42.0,79.0,,Welcome,Arnold,Providence,Merchant,,,,,,,,,,,1792.0,7.0,23.0,,,John Ward and co.,,294.0,448.0,49.0,
116,27.0,42.0,79.0,,Welcome,Arnold,Providence,Merchant,,,,,,,,,,,,,,,,,,,3897.0,89.0,
117,27.0,42.0,79.0,,Welcome,Arnold,Providence,Merchant,,,,,,,,,,,1793.0,1.0,31.0,,,Transferred from the office of Nathan Appleton esq commissioners for the State of Massachusetts,,382.0,2316.0,54.0,
118,27.0,42.0,79.0,,Welcome,Arnold,Providence,Merchant,,,,,,,,,,,1793.0,2.0,12.0,,,Ann,Greene,391.0,216.0,88.0,
119,27.0,42.0,79.0,,Welcome,Arnold,Providence,Merchant,,,,,,Balance due from the United States,,,448.0,49.0,,,,,,,,,6431.0,31.0,
120,,,,,,,,,,,,,,,,,6431.0,31.0,1794.0,1.0,16.0,,,Balance remaining on the Books,,,448.0,49.0,
121,27.0,42.0,80.0,Junior,Henry,Champion,Colchester State of Connecticut,,,,,,,,,,,,1792.0,1.0,1.0,80.0,,Funded 3 percent stock assumed debt,,28.0,88.0,14.0,
122,27.0,42.0,81.0,,Thomas,Lee,Cambridge,Esquire,1792.0,10.0,1.0,,,Certificate number 43 transferring to the books of the commissioners of Massachusetts,,317.0,152.0,32.0,1792.0,1.0,1.0,81.0,,Funded 3 percent stock assumed debt,,28.0,152.0,33.0,
123,27.0,42.0,81.0,,Thomas,Lee,Cambridge,Esquire,1795.0,4.0,20.0,,,Nicholas,Cooke,596.0,,1.0,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,152.0,33.0,,,,,,,,,,,
125,28.0,43.0,82.0,,Thomas Lloyd,Halsey,Providence,Merchant,1792.0,5.0,11.0,,,Thomas,Dickason,96.0,42.0,49.0,1792.0,1.0,1.0,82.0,,Funded 3 percent stock assumed debt,,29.0,42.0,49.0,
126,28.0,43.0,82.0,,Thomas Lloyd,Halsey,Providence,Merchant,1793.0,3.0,2.0,,,Nathan,Bond,101.0,420.0,74.0,1792.0,4.0,1.0,,,Simeon,Perry,191.0,420.0,74.0,
127,,,,,,,,,,,,,,,,,463.0,23.0,,,,,,,,,463.0,23.0,
128,28.0,43.0,83.0,,Pardon,Tillinghast,West Greenwich,Esquire,,,,,,,,,,,1792.0,1.0,1.0,83.0,,Funded 3 percent stock assumed debt,,29.0,230.0,54.0,
129,28.0,43.0,83.0,,Pardon,Tillinghast,West Greenwich,Esquire,,,,,,,,,,,,,,,,Funded 3 percent stock assumed debt,,19.0,295.0,29.0,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,525.0,83.0,
131,28.0,43.0,84.0,,George,Gibbs,Newport,Esquire,1792.0,1.0,12.0,,,Benjamin,Siexas,32.0,1070.0,50.0,1792.0,1.0,1.0,84.0,,Funded 3 percent stock assumed debt,,29.0,1070.0,50.0,
132,29.0,44.0,85.0,,Josiah,Tillinghast,Providence,Mariner,1796.0,3.0,1.0,,,Thomas P,Ives,622.0,38.0,49.0,1792.0,1.0,1.0,85.0,,Funded 3 percent stock assumed debt,,30.0,38.0,49.0,
133,29.0,44.0,86.0,,Josiah,Draper,Auleborough,Yeoman,,,,,,,,,,,1792.0,1.0,1.0,86.0,,Funded 3 percent stock assumed debt,,30.0,11.0,98.0,
134,29.0,44.0,87.0,,John,Hunt,Rehoboth,Yeoman,,,,,,,,,,,1792.0,1.0,1.0,87.0,,Funded 3 percent stock assumed debt,,30.0,20.0,43.0,
135,30.0,45.0,88.0,,Daniel,Austin,Boston,Merchant,1792.0,3.0,14.0,,,Thomas,Vermillya,98.0,396.0,7.0,1792.0,1.0,1.0,88.0,,Funded 3 percent stock assumed debt,,31.0,396.0,7.0,
136,30.0,45.0,89.0,,Benj,Morris,Dudley State of Massachusetts,,1792.0,3.0,6.0,,,John Ward and co.,,97.0,347.0,59.0,1792.0,1.0,1.0,89.0,,Funded 3 percent stock assumed debt,,31.0,347.0,59.0,
137,30.0,45.0,90.0,,Christopher,White,Little Compton,Gentleman,1793.0,4.0,30.0,,,Andrew,Taylor,107.0,6.0,25.0,1792.0,1.0,1.0,91.0,,Funded 3 percent stock assumed debt,,32.0,6.0,25.0,
138,31.0,46.0,92.0,,Zebedee,Manchester,Tiverton,Yeoman,,,,,,,,,,,1792.0,1.0,1.0,92.0,,Funded 3 percent stock assumed debt,,32.0,4.0,8.0,
