,RegisterPage,JPEGNum,EntryNum,Title,First Name,Last Name,City,Occupation,drYear,drMonth,drDay,drNo,drTitle,drFirst,drLast,drNo2,DollarAmt,CentAmt,crYear,crMonth,crDay,crNo,crTitle,crFirst,crLast,crNo2,crDollarAmt,crCentAmt,Note,Unnamed: 29
48,12.0,25.0,35.0,,George,Shove,Berkley,Patter,1792.0,9.0,14.0,,,Jabez,Bowen,3.0,2.0,77.0,1792.0,1.0,1.0,35,,Funded Deferred Stock Assum Debt,,13,2.0,77.0,,
49,12.0,25.0,36.0,,Abigail,Hammond,Newport,Spinster,,,,,,,,,,,1792.0,1.0,1.0,36,,Funded Deferred Stock Assum Debt,,13,33.0,7.0,,
50,13.0,26.0,37.0,,Elias,Cornelius,New York,Physician,1792.0,10.0,1.0,,,Ward ,Nicholas Boylstone,98.0,49.0,25.0,1792.0,1.0,1.0,34,,Funded Deferred Stock Assum Debt,,13,49.0,25.0,,
51,13.0,26.0,38.0,,Jeremiah,Whipple,Cumberland,Esquire,,,,,,,,,,,1792.0,1.0,1.0,38,,Funded Deferred Stock Assum Debt,,14,70.0,51.0,,
52,13.0,26.0,39.0,,Simeon,Potter,Swanzey,Esquire,1792.0,1.0,31.0,,,Thomas,Perkins,103.0,1186.0,90.0,1792.0,1.0,1.0,39,,Funded Deferred Stock Assum Debt,,14,1186.0,90.0,,
53,14.0,27.0,40.0,,Azariah,Hide,Franklin State of Connecticut,,1792.0,7.0,20.0,,,Moses,Brown,36.0,61.0,70.0,1792.0,1.0,1.0,40,,Funded Deferred Stock Assum Debt,,15,61.0,70.0,,
54,14.0,27.0,41.0,,Ichabod,Northup,Warwick,Labourer,,,,,,,,,,,1792.0,1.0,1.0,41,,Funded Deferred Stock Assum Debt,,15,19.0,79.0,,
55,14.0,27.0,42.0,,Lephaniah,Andrew,Providence,Mason,1792.0,4.0,20.0,,,Nicholas,Cooke,597.0,27.0,34.0,1792.0,1.0,2.0,42,,Funded Deferred Stock Assum Debt,,15,27.0,34.0,,
56,15.0,28.0,43.0,,Mary,Travers,Providence,Widow,,,,,,,,,,,1792.0,1.0,1.0,43,,Funded Deferred Stock Assum Debt,,16,21.0,62.0,,
57,15.0,28.0,44.0,,Archibald,Stewart,Providence,Merchant,1796.0,1.0,16.0,,,Samuel W.,Greene,621.0,5.0,52.0,1792.0,1.0,1.0,44,,Funded Deferred Stock Assum Debt,,16,5.0,52.0,,
58,15.0,28.0,45.0,,John,Thurston,Hudson,Merchant,,,,,,,,,,,1792.0,1.0,1.0,45,,Funded Deferred Stock Assum Debt,,16,26.0,17.0,,
59,16.0,29.0,46.0,,Calab,Aldrich,Smithfield,Esquire,1795.0,1.0,,1.0,,Calab,Fiske,66.0,5.0,47.0,1792.0,1.0,1.0,46,,Funded Deferred Stock Assum Debt,,17,5.0,47.0,,
60,16.0,29.0,47.0,,Enos,Hitchcock,Providence,Reverend,1792.0,1.0,30.0,,,Silas,Talbot,96.0,286.0,21.0,1792.0,1.0,1.0,47,,Funded Deferred Stock Assum Debt,,17,286.0,21.0,,
61,16.0,29.0,47.0,,Enos,Hitchcock,Providence,Reverend,1795.0,11.0,26.0,,,Benjamin,Conner,61.0,50.0,93.0,1792.0,6.0,5.0,,,Nathaniel,Appleton,248,50.0,93.0,,
62,16.0,29.0,48.0,,Abner,Allen,Rehoboth,Yeoman,1792.0,4.0,18.0,,,Daniel C.,Verplank,26.0,61.0,29.0,1792.0,1.0,1.0,48,,Funded Deferred Stock Assum Debt,,17,61.0,29.0,,
63,17.0,30.0,49.0,,Josh Jenkes and D L Barnes,,Providence,Executor to the Estate of Jn Jenckes,1792.0,1.0,18.0,,,Thomas,Dickason,96.0,1329.0,93.0,1792.0,1.0,1.0,49,,Funded Deferred Stock Assum Debt,,18,1329.0,93.0,,
64,17.0,30.0,50.0,,Aaron,Mann ,Providence,Trader,1796.0,3.0,1.0,,,Jabez,Bowen,623.0,6.0,79.0,1792.0,1.0,1.0,50,,Funded Deferred Stock Assum Debt,,18,6.0,79.0,,
65,17.0,30.0,51.0,,Nathan,Fuller,Rehoboth,,1793.0,8.0,21.0,,,Thomas and Sarah Smart,,456.0,4.0,41.0,1792.0,1.0,1.0,51,,Funded Deferred Stock Assum Debt,,18,4.0,41.0,,
66,18.0,31.0,52.0,,Christopher,Luppitt,Cranston,Esquire,,,,,,,,,,,1792.0,1.0,1.0,52,,Funded Deferred Stock Assum Debt,,19,57.0,35.0,,
67,18.0,31.0,53.0,,Pardon,Tillinghast,West Greenwich,Esquire,,,,,,Amount of Credit Carried to Page,,28.0,194.0,86.0,1792.0,1.0,1.0,53,,Funded Deferred Stock Assum Debt,,19,196.0,86.0,,
68,18.0,31.0,54.0,,Pardon,Tillinghast,West Greenwich,Yeoman,,,,,,,,,,,1792.0,1.0,1.0,54,,Funded Deferred Stock Assum Debt,,19,24.0,68.0,,
69,19.0,32.0,55.0,,Benjamin,Greene,Warwick,Esquire,,,,,,,,,,,1792.0,1.0,1.0,55,,Funded Deferred Stock Assum Debt,,20,159.0,33.0,,
70,19.0,32.0,56.0,,John,Dorrance,Providence,Esquire,1792.0,2.0,2.0,,,John Ward and Company,,35.0,85.0,63.0,1792.0,1.0,1.0,56,,Funded Deferred Stock Assum Debt,,20,25.0,83.0,,
71,19.0,32.0,56.0,,John,Dorrance,Providence,Esquire,,,,,,,,,,,,,,247,,Funded Deferred Stock Assum Debt,,84,59.0,80.0,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,63.0,,
73,19.0,32.0,57.0,,Elisha,Brown,Providence,Merchant,1792.0,2.0,11.0,,,William,Walter,49.0,52.0,84.0,1792.0,1.0,1.0,57,,Funded Deferred Stock Assum Debt,,20,52.0,84.0,,
74,20.0,33.0,58.0,,Elizabeth,Brown,,Administratix to the Estate of the Late Joseph Brown Deceased,,,,,,,,,,,1792.0,1.0,1.0,58,,Funded Deferred Stock Assum Debt,,21,1096.0,2.0,,
75,20.0,33.0,59.0,,Ludia,Dexter,Providence,Widow,1794.0,4.0,,1.0,,Hannah and Elizabeth,Whipple,109.0,46.0,53.0,1792.0,1.0,1.0,59,,Funded Deferred Stock Assum Debt,,21,46.0,53.0,,
76,20.0,33.0,60.0,,Benjamin,Talbot,Providence,Merchant,1792.0,5.0,14.0,,,Certificate no 50 transferred to the office of John Cochran Commissioner of Loan for the State of New York,,230.0,88.0,40.0,1792.0,1.0,1.0,60,,Funded Deferred Stock Assum Debt,,21,88.0,40.0,,
77,21.0,34.0,61.0,,Abagail,Cushing,Providence,Spinster,,,,,,,,,,,1792.0,1.0,1.0,61,,Funded Deferred Stock Assum Debt,,22,28.0,90.0,,
78,21.0,34.0,62.0,,Peter,Turner,East Greenwich,Physician,,,,,,,,,,,1792.0,1.0,1.0,62,,Funded Deferred Stock Assum Debt,,22,56.0,89.0,,
79,21.0,34.0,63.0,,William,Greene,Warwick,Son of Nath,,,,,,,,,,,1792.0,1.0,1.0,63,,Funded Deferred Stock Assum Debt,,22,7.0,55.0,,
80,22.0,35.0,64.0,,Elisha,Waterman,Cumberland,Esquire,,,,,,,,,,,1792.0,1.0,1.0,64,,Funded Deferred Stock Assum Debt,,23,92.0,21.0,,
81,22.0,35.0,64.0,,Elisha,Waterman,Cumberland,Esquire,,,,,,,,,,,1795.0,5.0,11.0,,,Amaziah,Waterman,600,13.0,73.0,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,94.0,,
83,22.0,35.0,65.0,,Amaziah,Waterman,Cumberland,Yeoman,1795.0,5.0,11.0,,,Elisha,Waterman,600.0,13.0,73.0,1792.0,1.0,1.0,65,,Funded Deferred Stock Assum Debt,,23,13.0,73.0,,
84,22.0,35.0,66.0,,Benjamin,Tillinghast,West Greene,Esquire,,,,,,,,,,,1792.0,1.0,1.0,66,,Funded Deferred Stock Assum Debt,,23,241.0,94.0,,
85,22.0,35.0,66.0,,Benjamin,Tillinghast,West Greene,Esquire,,,,,,,,,,,1795.0,10.0,27.0,66,,Benjamin Tillinghast and Others,,614,56.0,40.0,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,298.0,34.0,,
87,23.0,36.0,67.0,,Benjamin Tillinghast and Others,,West Greenwich,,1795.0,10.0,27.0,,,Benjamin Tillinghast Only,,614.0,56.0,40.0,1792.0,1.0,1.0,67,,Funded Deferred Stock Assum Debt,,24,56.0,40.0,,
88,23.0,36.0,68.0,,Nicholas,Power,Providence,Merchant,1792.0,2.0,14.0,,,William,Walter,49.0,255.0,38.0,1792.0,1.0,1.0,68,,Funded Deferred Stock Assum Debt,,24,255.0,38.0,,
89,23.0,36.0,69.0,,Elizabeth,Hammond,Newport,Widow,1792.0,3.0,14.0,,,Benjamin,Siexas,32.0,17.0,67.0,1792.0,1.0,1.0,69,,Funded Deferred Stock Assum Debt,,24,17.0,67.0,,
90,24.0,37.0,70.0,,William,Holroyd,Providence,Merchant,,,,,,,,,,,1792.0,1.0,1.0,70,,Funded Deferred Stock Assum Debt,,25,33.0,50.0,,
91,24.0,37.0,71.0,,Moses and Nicholas Brown,Holroyd,Providence,Excutor to the Estate Nicholas Brown of Providence Deceased,1792.0,5.0,11.0,,,Thomas,Dickason,96.0,3796.0,80.0,1792.0,1.0,1.0,71,,Funded Deferred Stock Assum Debt,,25,3796.0,80.0,,
92,24.0,37.0,71.0,,Moses and Nicholas Brown,Holroyd,Providence,Excutor to the Estate Nicholas Brown of Providence Deceased,,,,,,Thomas,Dickason,,11986.0,9.0,1792.0,5.0,11.0,,,Funded Deferred Stock Assum Debt Transferred from Connecticut,,215,475.0,16.0,,
93,24.0,37.0,71.0,,Moses and Nicholas Brown,Holroyd,Providence,Excutor to the Estate Nicholas Brown of Providence Deceased,,,,,,Balance Due from the United States,,,46.0,76.0,,,,,,Funded Deferred Stock Assum Debt Transferred from State of Massachusetts,,214,11510.0,93.0,,
94,24.0,37.0,71.0,,Moses and Nicholas Brown,Holroyd,Providence,Excutor to the Estate Nicholas Brown of Providence Deceased,,,,,,,,,,,1792.0,5.0,14.0,,,Rufus,Hopkins,230,46.0,76.0,,
95,24.0,37.0,71.0,,Moses and Nicholas Brown,Holroyd,Providence,Excutor to the Estate Nicholas Brown of Providence Deceased,,,,,,,,,15829.0,65.0,,,,,,,,,15829.0,65.0,,
96,,,,,,,,,1794.0,2.0,1.0,,,Thomas P.,Ives,108.0,46.0,76.0,,,,,,Balance Stock Remaining on the books,,,46.0,76.0,,
97,24.0,37.0,72.0,,Daniel,Tefft,Providence,Blacksmith,,,,,,,,,,,1792.0,1.0,1.0,72,,Funded Deferred Stock Assum Debt,,25,112.0,31.0,,
98,25.0,38.0,73.0,,John,Bannister,Newport,Esquire,1792.0,6.0,11.0,,,Robert,Davis,100.0,4.0,7.0,1792.0,1.0,1.0,73,,Funded Deferred Stock Assum Debt,,26,4.0,1.0,,
99,25.0,38.0,74.0,,Nathaniel,Appleton,Boston,Esquire,1792.0,6.0,5.0,,,Enos,Hitchcock,16.0,50.0,93.0,1792.0,1.0,1.0,74,,Funded Deferred Stock Assum Debt,,26,50.0,93.0,,
100,25.0,38.0,75.0,,Edward,Clarke,Boston,Esquire,,,,,,,,,,,1792.0,1.0,1.0,75,,Funded Deferred Stock Assum Debt,,26,72.0,37.0,,
101,26.0,39.0,76.0,,Ludia,Nightengale,Providence,Spinster,1793.0,10.0,15.0,,,Clark and Nightengale,,475.0,4.0,14.0,1792.0,1.0,1.0,76,,Funded Deferred Stock Assum Debt,,27,4.0,14.0,,
102,26.0,39.0,77.0,,Daniel C.,Verplank,New York,Merchant,1794.0,1.0,30.0,,,Certificate No 11 Transferred to the Office of John Cochran Commissioner of Loan for the State of New York,,109.0,578.0,72.0,1792.0,1.0,1.0,77,,Funded Deferred Stock Assum Debt,,27,387.0,82.0,90151227,
103,26.0,39.0,77.0,,Daniel C.,Verplank,New York,Merchant,,,,,,,,,,,,,,90,,Funded Deferred Stock Assum Debt,,31,351.0,83.0,,
104,26.0,39.0,77.0,,Daniel C.,Verplank,New York,Merchant,,,,,,,,,,,,,,151,,Funded Deferred Stock Assum Debt,,52,164.0,19.0,,
105,26.0,39.0,77.0,,Daniel C.,Verplank,New York,Merchant,,,,,,,,,,,,,,227,,Funded Deferred Stock Assum Debt,,77,414.0,53.0,,
106,26.0,39.0,77.0,,Daniel C.,Verplank,New York,Merchant,,,,,,,,,,,,,,,,,,,1318.0,37.0,,
107,26.0,39.0,77.0,,Daniel C.,Verplank,New York,Merchant,1794.0,4.0,1.0,,,Certificate No 11 Transferred to the Office of John Cochran Commissionar of Loan for the State of New York,,198.0,800.0,94.0,1792.0,4.0,1.0,,,Abner,Allen,196,61.0,29.0,,
108,26.0,39.0,77.0,,Daniel C.,Verplank,New York,Merchant,,,,,,,,,1379.0,66.0,,,,,,,,,1379.0,66.0,,
109,26.0,39.0,78.0,,Thomas,Allen,Benjamin,Esquire,1792.0,9.0,1.0,,,Benjamin,Brown,102.0,6.0,32.0,1792.0,1.0,1.0,78,,Funded Deferred Stock Assum Debt,,27,6.0,32.0,,
110,27.0,40.0,79.0,,Welcome,Arnold,Providence,Merchant,,,,,,,,,,,1792.0,1.0,1.0,79,,Funded deferred Stock Assum Debt,,28,2299.0,60.0,,
111,27.0,40.0,79.0,,,,,,,,,,,,,,,,1793.0,1.0,31.0,79,,Transfer from the office of Nathaniel Appleton Commissioner for the State of Masachusetts,,383,1544.0,36.0,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,3843.0,96.0,,
113,27.0,40.0,80.0,Jun,Henry,Champion,Colchester State of Connecticut,,,,,,,,,,,,1792.0,1.0,1.0,80,,Funded Deferred Stock Assum Debt,,28,58.0,76.0,,
114,27.0,40.0,81.0,,Thomas,Lee,Cambridge,Esquire,1792.0,10.0,,1.0,,Certificate No 75 Transfering to the Cooks of the Commissioner of Massachusetts,,317.0,101.0,55.0,1792.0,1.0,1.0,81,,Funded Deferred Stock Assum Debt,,,101.0,55.0,,
115,28.0,41.0,82.0,,Thomas,Halsey,Providence,Merchant,1793.0,4.0,10.0,,,Nathan,Bond,104.0,28.0,33.0,1792.0,1.0,1.0,82,,Funded Deferred Stock Assum Debt,,29,28.0,33.0,,
116,28.0,41.0,83.0,,Pardon,Tillinghast,West Greenwich,Esquire,,,,,,,,,,,1792.0,1.0,1.0,83,,Funded Deferred Stock Assum Debt,,29,153.0,69.0,,
117,28.0,41.0,83.0,,Pardon,Tillinghast,West Greenwich,Esquire,,,,,,,,,,,,,,53,,Funded Deferred Stock Assum Debt,,19,196.0,86.0,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,350.0,55.0,,
119,28.0,41.0,84.0,,George,Gibbs,Newport,Esquire ,1792.0,1.0,12.0,,,Benjamin,Siexas,32.0,713.0,67.0,1792.0,1.0,1.0,84,,Funded Deferred Stock Assum Debt,,29,713.0,67.0,,
120,29.0,42.0,85.0,,Joseph,Tillinghast,Providence,Mariner,1796.0,3.0,,1.0,,Thomas P.,Ives,622.0,25.0,66.0,1792.0,1.0,1.0,85,,Funded Deferred Stock Assum Debt,,30,25.0,66.0,,
121,29.0,42.0,86.0,,Josiah,Draper,Attleborough,Yeoman,,,,,,,,,,,1792.0,1.0,1.0,86,,Funded Deferred Stock Assum Debt,,30,7.0,99.0,,
122,29.0,42.0,87.0,,John,Hurt,Rehoboth,Yeoman,,,,,,,,,,,1792.0,1.0,1.0,87,,Funded Deferred Stock Assum Debt,,30,13.0,62.0,,
123,30.0,43.0,88.0,,Daniel,Austin,Boston,Merchant,1793.0,10.0,22.0,,Jun,Joseph,Martin,107.0,264.0,5.0,1792.0,1.0,1.0,88,,Funded Deferred Stock Assum Debt,,31,264.0,5.0,,
124,30.0,43.0,89.0,,Benjamin,Morris,"Dudley, State of Massachusetts",,1792.0,3.0,6.0,,,John Ward and Company,,98.0,231.0,73.0,1792.0,1.0,1.0,89,,Funded Deferred Stock Assum Debt,,31,231.0,73.0,,
125,30.0,43.0,91.0,,Christopher,White,Little Compton,Gentleman,1793.0,4.0,30.0,,,Andrew,Taylor,105.0,4.0,17.0,1792.0,1.0,,91,,Funded Deferred Stock Assum Debt,,31,4.0,17.0,,
126,31.0,44.0,92.0,,Zebedee,Manchester,Tiverton,,,,,,,,,,,,1792.0,1.0,1.0,92,,Funded Deferred Stock Assum Debt,,32,2.0,72.0,,
127,31.0,44.0,93.0,,Nathan,Angell,Providence,Merchant,1795.0,10.0,20.0,,,Nicholas,Cooke,597.0,889.0,15.0,1792.0,1.0,1.0,93,,Funded Deferred Stock Assum Debt,,32,492.0,49.0,244,
128,31.0,44.0,93.0,,Nathan,Angell,Providence,Merchant,,,,,,,,,,,,,,244,,Funded Deferred Stock Assum Debt,,83,396.0,66.0,,
129,31.0,44.0,94.0,,Amos,Throop,Providence,Physician,,,,,,,,,,,1792.0,1.0,1.0,94,,Funded Deferred Stock Assum Debt,,33,98.0,65.0,,
130,31.0,44.0,94.0,,Amos,Throop,Providence,Physician,,,,,,,,,,,,,,,,Funded Deferred Stock Assum Debt,,,98.0,65.0,,
131,32.0,45.0,95.0,,Christopher,Olney,Providence,Esquire,1792.0,6.0,11.0,,,Jeremiah,Olney,100.0,14.0,35.0,1792.0,1.0,1.0,95,,Funded Deferred Stock Assum Debt,,39,14.0,35.0,,
132,32.0,45.0,96.0,,Benjamin,Siexas,New York,Merchant,1792.0,1.0,12.0,,,Certificate No 2 Transferred to the Office of John Cochran Commissioner of Loan for the State of New York,,96.0,2119.0,53.0,1792.0,1.0,1.0,96,,Funded Deferred Stock Assum Debt,,33,690.0,95.0,,
133,32.0,45.0,96.0,,Benjamin,Siexas,New York,Merchant,,,,,,,,,,,,,,101,,Funded Deferred Stock Assum Debt,,35,151.0,34.0,,
134,32.0,45.0,96.0,,Benjamin,Siexas,New York,Merchant,,,,,,,,,,,1792.0,1.0,1.0,,,George,Champlin,94,84.0,65.0,,
135,32.0,45.0,96.0,,Benjamin,Siexas,New York,Merchant,,,,,,,,,,,,,,,,Samuel,Fowler,95,478.0,92.0,,
136,32.0,45.0,96.0,,Benjamin,Siexas,New York,Merchant,,,,,,,,,,,,,,,,George,Gibbs,95,713.0,67.0,,
137,32.0,45.0,96.0,,Benjamin,Siexas,New York,Merchant,,,,,,,,,,,,,,,,,,,2119.0,53.0,,
138,32.0,45.0,96.0,,Benjamin,Siexas,New York,Merchant,1792.0,3.0,14.0,,,Certificate No 34 Transferred to the Office of John Cochran Commissioner of Loan for the State of New York,,164.0,66.0,59.0,,,,,,Elizabeth,Hammond,164,17.0,67.0,,
139,32.0,45.0,96.0,,Benjamin,Siexas,New York,Merchant,,,,,,,,,,,,,,,,Clark,Hammond,164,48.0,92.0,,
140,32.0,45.0,96.0,,Benjamin,Siexas,New York,Merchant,,,,,,,,,,,,,,,,,,,66.0,59.0,,
